"year","player","team","age","gp","w","l","min","pct_pts_2pt","pct_pts_mr","pct_pts_3pt","pct_pts_fstbrk","pct_pts_ft","pct_pts_off_tos","pct_pts_inthept","pct_2ptgfm_asstd","pct_2ptgfm_unasstd","pct_3ptgfm_asstd","pct_3ptgfm_unasstd","pct_fgm_asstd","pct_fgm_unasstd","total_min","player_win_ratio","shot_assisted_ratio"
"2019","Jahlil Okafor","NOP",23,59,23,36,15.8,87.2,2.9,0.6,5.8,12.2,11,84.3,49.3,50.7,100,0,49.5,50.5,932.2,0.389830508474576,0.98
"2019","Jake Layman","POR",25,71,46,25,18.7,58,5.9,32.7,12,9.2,14.8,52.1,75.2,24.8,91.5,8.5,79.6,20.4,1327.7,0.647887323943662,3.9
"2019","Jakob Poeltl","SAS",23,77,43,34,16.5,88.4,3.8,0,4,11.6,13,84.6,70.6,29.4,0,0,70.6,29.4,1270.5,0.558441558441558,2.4
"2019","Jalen Brunson","DAL",22,73,27,46,21.8,59.3,10.6,27.9,13.9,12.8,10.9,48.7,33.8,66.2,76.2,23.8,43.9,56.1,1591.4,0.36986301369863,0.78
"2019","Jamal Crawford","PHX",39,64,13,51,18.9,42.1,24.4,39.6,10.8,18.3,13,17.7,11.2,88.8,50.7,49.3,26.4,73.6,1209.6,0.203125,0.36
"2019","Jamal Murray","DEN",22,75,49,26,32.6,52.8,16.7,33.4,11.4,13.8,11.9,36.1,52.6,47.4,68.4,31.6,57.3,42.7,2445,0.653333333333333,1.34
"2019","James Ennis III","PHI",28,58,35,23,21.2,42.7,1.5,42.4,21.3,14.9,24.7,41.1,72.3,27.7,98.2,1.8,82.6,17.4,1229.6,0.603448275862069,4.75
"2019","James Harden","HOU",29,78,51,27,36.8,33,2.4,40.2,8.5,26.8,14.9,30.6,10.5,89.5,16.1,83.9,13,87,2870.4,0.653846153846154,0.15
"2019","James Johnson","MIA",32,55,27,28,21.2,53.3,3.3,35,5.1,11.7,13.3,50,51.8,48.2,86,14,62.2,37.8,1166,0.490909090909091,1.65
"2019","Jared Dudley","BKN",33,59,28,31,20.7,33.4,7,55.4,9.8,11.1,15,26.5,87.5,12.5,100,0,94.1,5.9,1221.3,0.474576271186441,15.95
"2019","Jaren Jackson Jr.","MEM",19,58,23,35,26.1,61.9,2,19.2,9.8,18.9,14.5,59.9,63.6,36.4,94.1,5.9,68.8,31.2,1513.8,0.396551724137931,2.21
"2019","Jarrett Allen","BKN",21,80,42,38,26.2,75.4,0.5,2.1,6.4,22.6,10.3,74.9,83,17,100,0,83.3,16.7,2096,0.525,4.99
"2019","Jaylen Brown","BOS",22,74,41,33,25.9,56.6,8.1,29.6,22.9,13.8,20,48.5,57.1,42.9,96.8,3.2,67.4,32.6,1916.6,0.554054054054054,2.07
"2019","Jayson Tatum","BOS",21,79,48,31,31.1,56.3,16.3,28,16.5,15.7,19.1,40.1,49.7,50.3,85.3,14.7,58.6,41.4,2456.9,0.607594936708861,1.42
"2019","Jeff Green","WAS",32,77,29,48,27.2,45.5,9.5,35.2,10.6,19.3,14.4,35.9,61.4,38.6,97.3,2.7,73.6,26.4,2094.4,0.376623376623377,2.79
"2019","Jeff Teague","MIN",30,42,23,19,30.1,55.3,8.6,20.6,15.7,24.1,16.1,46.7,10.6,89.4,62.9,37.1,21,79,1264.2,0.547619047619048,0.27
"2019","Jerami Grant","OKC",25,80,48,32,32.7,53.9,3.3,31.7,12.5,14.4,17.5,50.6,78.6,21.4,99.1,0.9,84.4,15.6,2616,0.6,5.41
"2019","Jeremy Lamb","CHA",27,79,38,41,28.5,52.3,11.8,28.6,12.3,19.1,18.3,40.6,44,56,83.5,16.5,54.5,45.5,2251.5,0.481012658227848,1.2
"2019","Jeremy Lin","TOR",30,74,31,43,19.4,51.8,9.6,23.3,17.3,24.9,17.4,42.1,29,71,74.5,25.5,39.5,60.5,1435.6,0.418918918918919,0.65
"2019","Jerian Grant","ORL",26,60,28,32,15.6,41.6,21.6,48,14,10.4,19.6,20,28.8,71.2,77.5,22.5,50,50,936,0.466666666666667,1
"2019","Jimmy Butler","PHI",29,65,38,27,33.6,57.8,13.8,16.5,13.9,25.7,13.8,44,48.1,51.9,67.2,32.8,51.2,48.8,2184,0.584615384615385,1.05
"2019","Joe Harris","BKN",27,76,41,35,30.2,36.7,2.7,52.7,9.5,10.6,14.7,34,80.1,19.9,98.9,1.1,89.3,10.7,2295.2,0.539473684210526,8.35
